date,open,high,low,close,volume
2023-11-21 19:59:00,153.8100,153.8100,153.8100,153.8100,2
2023-11-21 19:56:00,153.8100,153.8100,153.8100,153.8100,11
2023-11-21 19:55:00,153.8200,153.8200,153.8200,153.8200,4
2023-11-21 19:53:00,153.8100,153.8100,153.8100,153.8100,20
2023-11-21 19:49:00,153.8600,153.9100,153.8600,153.9100,150
2023-11-21 19:32:00,153.8600,153.8600,153.8400,153.8400,6
2023-11-21 19:13:00,153.9100,153.9100,153.9100,153.9100,7
2023-11-21 19:00:00,153.9100,153.9100,153.9100,153.9100,331584
2023-11-21 18:43:00,153.8400,153.8400,153.8400,153.8400,2
2023-11-21 18:39:00,153.8100,153.8100,153.8100,153.8100,3
2023-11-21 18:37:00,153.8100,153.8100,153.8100,153.8100,100
2023-11-21 18:36:00,153.8100,153.8100,153.8100,153.8100,115
2023-11-21 18:30:00,153.9100,153.9100,153.9100,153.9100,331584
2023-11-21 18:23:00,153.8100,153.8100,153.8100,153.8100,1
2023-11-21 18:02:00,153.8100,153.8100,153.8100,153.8100,7
2023-11-21 18:01:00,153.8110,153.8110,153.8110,153.8110,1
2023-11-21 17:58:00,153.8100,153.8100,153.8100,153.8100,10
2023-11-21 17:56:00,153.8100,153.8100,153.8100,153.8100,13
2023-11-21 17:54:00,153.8500,153.8500,153.8500,153.8500,4
2023-11-21 17:52:00,153.8500,153.8500,153.8500,153.8500,1
2023-11-21 17:33:00,153.8100,153.8100,153.8100,153.8100,20
2023-11-21 17:27:00,153.8100,153.8100,153.8100,153.8100,50
2023-11-21 17:25:00,153.8100,153.8100,153.8100,153.8100,5
2023-11-21 17:15:00,153.8100,153.8100,153.8100,153.8100,50
2023-11-21 17:10:00,153.8100,153.8100,153.8100,153.8100,10
2023-11-21 16:50:00,153.8200,153.8200,153.8200,153.8200,6
2023-11-21 16:48:00,153.8100,153.8100,153.8100,153.8100,4
2023-11-21 16:44:00,154.0000,154.0000,154.0000,154.0000,10
2023-11-21 16:42:00,153.9100,153.9100,153.9100,153.9100,41820
2023-11-21 16:41:00,153.8800,153.8800,153.8800,153.8800,5
2023-11-21 16:39:00,153.8200,153.8200,153.8200,153.8200,6
2023-11-21 16:32:00,153.8200,153.8200,153.8200,153.8200,1
2023-11-21 16:20:00,153.9100,153.9100,153.9100,153.9100,9618
2023-11-21 16:15:00,153.9100,153.9100,153.9100,153.9100,1
2023-11-21 16:13:00,153.9500,153.9500,153.9500,153.9500,1
2023-11-21 16:10:00,153.9100,153.9100,153.9100,153.9100,331584
2023-11-21 16:09:00,153.5000,153.5000,153.5000,153.5000,2
2023-11-21 16:07:00,153.9100,153.9100,153.9100,153.9100,9813
2023-11-21 16:02:00,153.9100,153.9100,153.9100,153.9100,68369
2023-11-21 16:01:00,153.9100,153.9100,153.9100,153.9100,1
2023-11-21 16:00:00,153.9200,153.9200,153.8700,153.9100,706122
2023-11-21 15:59:00,153.9200,153.9300,153.8250,153.8700,61785
2023-11-21 15:58:00,153.7500,153.9300,153.7500,153.9200,61877
2023-11-21 15:57:00,153.8150,153.8700,153.7500,153.7600,87067
2023-11-21 15:56:00,153.8950,153.8950,153.8050,153.8150,39787
2023-11-21 15:55:00,153.9550,153.9600,153.8900,153.9000,25328
2023-11-21 15:54:00,153.9550,154.0000,153.9500,153.9600,25051
2023-11-21 15:53:00,153.9500,153.9600,153.9100,153.9550,17431
2023-11-21 15:52:00,153.9600,153.9850,153.9350,153.9350,17811
2023-11-21 15:51:00,154.0200,154.0300,153.9400,153.9500,21685
2023-11-21 15:50:00,154.0550,154.0700,154.0100,154.0100,18791
2023-11-21 15:49:00,154.0700,154.0900,154.0550,154.0550,12458
2023-11-21 15:48:00,154.0350,154.0700,154.0350,154.0650,7822
2023-11-21 15:47:00,154.0000,154.0550,154.0000,154.0400,11357
2023-11-21 15:46:00,153.9600,154.0200,153.9600,154.0000,11157
2023-11-21 15:45:00,153.9900,153.9990,153.9600,153.9600,9005
2023-11-21 15:44:00,153.9700,153.9900,153.9500,153.9800,6080
2023-11-21 15:43:00,153.9950,154.0000,153.9700,153.9700,7493
2023-11-21 15:42:00,154.0050,154.0100,153.9900,154.0000,4990
2023-11-21 15:41:00,153.9500,154.0200,153.9400,154.0100,14138
2023-11-21 15:40:00,153.9400,153.9500,153.9300,153.9500,6589
2023-11-21 15:39:00,153.9500,153.9600,153.9350,153.9350,7955
2023-11-21 15:38:00,153.9700,153.9800,153.9400,153.9500,8222
2023-11-21 15:37:00,153.9500,153.9950,153.9500,153.9600,9568
2023-11-21 15:36:00,153.9500,153.9500,153.9100,153.9400,4962
2023-11-21 15:35:00,153.9000,153.9600,153.9000,153.9400,7781
2023-11-21 15:34:00,153.8900,153.9100,153.8900,153.9000,4213
2023-11-21 15:33:00,153.9000,153.9100,153.8700,153.8900,6516
2023-11-21 15:32:00,153.9000,153.9300,153.9000,153.9100,4460
2023-11-21 15:31:00,153.8900,153.9000,153.8700,153.9000,9057
2023-11-21 15:30:00,153.9850,153.9850,153.9200,153.9200,4872
2023-11-21 15:29:00,153.9900,153.9900,153.9800,153.9900,6966
2023-11-21 15:28:00,153.9900,154.0100,153.9800,154.0000,3874
2023-11-21 15:27:00,153.9750,154.0000,153.9700,154.0000,4141
2023-11-21 15:26:00,153.9500,153.9800,153.9500,153.9800,2657
2023-11-21 15:25:00,153.9700,153.9800,153.9400,153.9500,11387
2023-11-21 15:24:00,153.9600,153.9750,153.9500,153.9750,4887
2023-11-21 15:23:00,153.9600,153.9600,153.9500,153.9550,1193
2023-11-21 15:22:00,153.9750,153.9900,153.9600,153.9600,4080
2023-11-21 15:21:00,153.9800,153.9900,153.9750,153.9790,3565
2023-11-21 15:20:00,153.9700,153.9900,153.9700,153.9800,3321
2023-11-21 15:19:00,153.9800,153.9980,153.9650,153.9700,4350
2023-11-21 15:18:00,154.0300,154.0400,153.9800,153.9860,4743
2023-11-21 15:17:00,154.0300,154.0400,154.0250,154.0390,3064
2023-11-21 15:16:00,154.0600,154.0600,154.0400,154.0400,3748
2023-11-21 15:15:00,154.0400,154.0600,154.0400,154.0550,2778
2023-11-21 15:14:00,154.0300,154.0450,154.0300,154.0300,4764
2023-11-21 15:13:00,154.0450,154.0450,154.0250,154.0390,4264
2023-11-21 15:12:00,154.0350,154.0400,154.0350,154.0400,1468
2023-11-21 15:11:00,154.0200,154.0450,154.0200,154.0400,2925
2023-11-21 15:10:00,154.0000,154.0250,154.0000,154.0250,2973
2023-11-21 15:09:00,154.0300,154.0350,153.9900,154.0070,4419
2023-11-21 15:08:00,154.0200,154.0600,154.0200,154.0400,2760
2023-11-21 15:07:00,154.0050,154.0400,154.0000,154.0300,3065
2023-11-21 15:06:00,153.9950,154.0000,153.9800,154.0000,3412
2023-11-21 15:05:00,154.0100,154.0100,153.9900,153.9900,2510
2023-11-21 15:04:00,154.0100,154.0200,154.0000,154.0200,2298
2023-11-21 15:03:00,153.9800,154.0260,153.9800,154.0200,4631
2023-11-21 15:02:00,153.9800,154.0100,153.9800,154.0000,9343
2023-11-21 15:01:00,153.9950,153.9990,153.9750,153.9750,3903
2023-11-21 15:00:00,154.0100,154.0250,153.9950,154.0100,4392
2023-11-21 14:59:00,154.0000,154.0200,154.0000,154.0150,2617
2023-11-21 14:58:00,153.9800,154.0300,153.9800,154.0200,8669
2023-11-21 14:57:00,153.9600,153.9750,153.9600,153.9700,1835
2023-11-21 14:56:00,153.9500,153.9600,153.9400,153.9580,4620
2023-11-21 14:55:00,153.9300,153.9600,153.9300,153.9600,3144
2023-11-21 14:54:00,153.9200,153.9210,153.9150,153.9200,2882
2023-11-21 14:53:00,153.8900,153.9200,153.8900,153.9200,1572
2023-11-21 14:52:00,153.8800,153.9000,153.8800,153.8950,2114
2023-11-21 14:51:00,153.9100,153.9100,153.8800,153.9000,5123
2023-11-21 14:50:00,153.9300,153.9400,153.9130,153.9130,6490
2023-11-21 14:49:00,153.9450,153.9700,153.9300,153.9300,3176
2023-11-21 14:48:00,153.9550,153.9550,153.9500,153.9500,2152
2023-11-21 14:47:00,153.9600,153.9700,153.9500,153.9600,2434
2023-11-21 14:46:00,153.9400,153.9650,153.9400,153.9600,3657
2023-11-21 14:45:00,153.9400,153.9500,153.9300,153.9350,3902
2023-11-21 14:44:00,153.9200,153.9300,153.9200,153.9230,1552
2023-11-21 14:43:00,153.9300,153.9360,153.9200,153.9200,13745
2023-11-21 14:42:00,153.8500,153.9300,153.8500,153.9300,17992
2023-11-21 14:41:00,153.8400,153.8600,153.8400,153.8520,4458
2023-11-21 14:40:00,153.8400,153.8500,153.8310,153.8400,1697
2023-11-21 14:39:00,153.8700,153.8700,153.8290,153.8400,2753
2023-11-21 14:38:00,153.8650,153.8800,153.8600,153.8640,2921
2023-11-21 14:37:00,153.8800,153.8800,153.8700,153.8700,995
2023-11-21 14:36:00,153.8800,153.9000,153.8800,153.8900,1849
2023-11-21 14:35:00,153.8700,153.8800,153.8500,153.8800,3338
2023-11-21 14:34:00,153.8350,153.8660,153.8350,153.8660,1399
2023-11-21 14:33:00,153.8150,153.8400,153.8100,153.8400,3136
2023-11-21 14:32:00,153.8700,153.8750,153.8300,153.8300,3110
2023-11-21 14:31:00,153.8400,153.8600,153.8400,153.8600,1398
2023-11-21 14:30:00,153.8400,153.8700,153.8400,153.8400,2852
2023-11-21 14:29:00,153.8500,153.8500,153.8300,153.8500,4245
2023-11-21 14:28:00,153.8350,153.8600,153.8350,153.8500,2175
2023-11-21 14:27:00,153.8600,153.8600,153.8300,153.8320,5459
2023-11-21 14:26:00,153.8500,153.8560,153.8450,153.8500,1771
2023-11-21 14:25:00,153.8600,153.8680,153.8400,153.8500,1877
2023-11-21 14:24:00,153.8450,153.8600,153.8400,153.8600,2635
2023-11-21 14:23:00,153.8650,153.8650,153.8500,153.8500,4682
2023-11-21 14:22:00,153.8650,153.8900,153.8650,153.8700,1454
2023-11-21 14:21:00,153.8900,153.8900,153.8700,153.8700,3243
